word	description
Нунатак	Полностью окружённый льдом скалистый пик, горный гребень или холм, выступающий над поверхностью ледникового покрова или горного ледника.
Консисторий	В Древнем Риме и Византийской империи — административно-совещательный орган при императоре.
Нодья	Долгогорящий, тлеющий костёр, сложенный из двух или трех брёвен.
Менто	Ямайский народный музыкальный стиль, предшественник ска и регги.
Нимоник	Общее название группы жаропрочных сплавов на основе никеля.
Библьдрук	Специальный сверхлёгкий офсетный тип бумаги, используемый при печати объёмных словарей, Библии.
Завалинка	Насыпь вдоль наружных стен в основании по периметру деревянного дома.
Инуксук	Каменная фигура в форме человека в культуре инуитов.
Акья	Спасательные сани для перевозки людей по заснеженной местности.
Луфарь	Вид морских лучепёрых рыб из отряда окунеобразных.
Спикизи	Нелегальные питейные заведения или клубы, в которых подавались крепкие алкогольные напитки во времена сухого закона в США.
Кортадо	Напиток на основе эспрессо и горячего молока популярный в Испании и Португалии.
Кверенсия
Эндаумент	Сформированная за счёт пожертвований часть имущества некоммерческой организации, переданная в доверительное управление управляющей компании для получения дохода, используемого для финансирования уставной деятельности некоммерческих организаций.
Дивестионирование
Автохтонность
Сексот
Пастозность
Кульверт
Диджериду
Берпи
Мармит
Дорама
Мурмурация
Зирвак
Интершум
Рома
Савант
Эглет
Мюзле
Выпот
Кантерано
Конфирмат
Шикана
Оттоманка
Шибболет
Кнессет
Сильф
Федора
Гёмбёц
Капитель
Патина
Абрис
Кондуит
Мандрил
Вивисекция
Акколада
Лакуна
Конкубинат
Апофения
Каркелюр
Биретта
Омшаник
Пария
Баббит
Эскулап
Глоссолалия
Филоксения
Паспарту
Ланьярд
Эксельсиор
Панегирик
Травести
Грогги
Кремальера
Вигилант
Лоция
Сабраж
Коннекционизм
Двутавр
Жардиньерка
Клауза
Мультифора
Мурал
Жеста
Фасция
Клапштос
Гомилетика
Ресентимент
Кальдера